delegateKey,shares,loot,kicked,jailed,tokenTribute,didRagequit,memberAddress,exists,createdAt
"0x084b728f2bd0b84e58d2b22c05809a4cdb8ec1b9","120","0","false","","0","false","0x084b728f2bd0b84e58d2b22c05809a4cdb8ec1b9","true","1634832008"
"0xf0552f71fddd72ae6d0f59efe3fccffc39af21ff","114","0","false","","0","false","0xf0552f71fddd72ae6d0f59efe3fccffc39af21ff","true","1637956455"
"0x4a09c4002ed6e38fcc84679cedd27947c0572f67","110","0","false","","0","false","0x4a09c4002ed6e38fcc84679cedd27947c0572f67","true","1636050840"
"0xb8b8bcb1c9e15a9a2325c90b0803e6d225598245","105","0","false","","0","false","0xb8b8bcb1c9e15a9a2325c90b0803e6d225598245","true","1638159020"
"0x6a55ae1b0bbbc7edbf346360ddc99b9224205f03","101","10000","false","","10000000000000000000000","false","0x6a55ae1b0bbbc7edbf346360ddc99b9224205f03","true","1627329290"
"0xe04885c3f1419c6e8495c33bdcf5f8387cd88846","76","7500","false","","7500000000000000000000","false","0xe04885c3f1419c6e8495c33bdcf5f8387cd88846","true","1627329290"
"0x97b9958facec9acb7adb2bb72a70172cb5a0ea7c","71","2000","false","","2000000000000000000000","false","0x97b9958facec9acb7adb2bb72a70172cb5a0ea7c","true","1629139145"
"0x4bb9e7d221fc35234a08ccdcb38d47d53fb1973e","69","0","false","","100000000000000000000","false","0x4bb9e7d221fc35234a08ccdcb38d47d53fb1973e","true","1628954240"
"0x9aa11a6f9dd069003d7c406f2a853290f934b03b","55","0","false","","0","false","0x9aa11a6f9dd069003d7c406f2a853290f934b03b","true","1640341580"
"0xdc97fe803a02ccad448aedb0a8d4b61aa137e489","51","0","false","","100000000000000000000","false","0xdc97fe803a02ccad448aedb0a8d4b61aa137e489","true","1627329290"
"0x3a8af31d3cfe775172853528167bb2b5760bf7b9","51","0","false","","100000000000000000000","false","0x3a8af31d3cfe775172853528167bb2b5760bf7b9","true","1627970505"
"0xc75446a6adaef73269dbdece73536977b2b639e0","50","0","false","","1863980000000000000000","true","0xc75446a6adaef73269dbdece73536977b2b639e0","true","1627329290"
"0x464e44c254588dbde8fe92aa7223dec92ed55a5b","40","0","false","","0","false","0x464e44c254588dbde8fe92aa7223dec92ed55a5b","true","1633536985"
"0xd1897df3ebb060ed9cb2834da83ce8d8431e2d34","30","0","false","","0","false","0xd1897df3ebb060ed9cb2834da83ce8d8431e2d34","true","1640053430"
"0xf812eff052fa956ffc43032922c0252040a67308","20","0","false","","0","false","0xf812eff052fa956ffc43032922c0252040a67308","true","1646497460"
"0x5ab45fb874701d910140e58ea62518566709c408","20","0","false","","0","false","0x5ab45fb874701d910140e58ea62518566709c408","true","1648505455"
"0xec06d3ba9c406e9dfc7bf2922a83767f89e47ad4","4","0","false","","0","false","0xec06d3ba9c406e9dfc7bf2922a83767f89e47ad4","true","1643187270"
"0xb3a5cfb7776a4e11fe570c3698837d5b2217ad00","4","0","false","","0","false","0xb3a5cfb7776a4e11fe570c3698837d5b2217ad00","true","1645466535"
"0xb38d7dde810774bea325ec1fc3826f31969a9616","4","0","false","","0","false","0xb38d7dde810774bea325ec1fc3826f31969a9616","true","1637162002"
"0x4f36f7e5944fba54145ef7bca6d56c5ecc3735df","4","0","false","","0","false","0x4f36f7e5944fba54145ef7bca6d56c5ecc3735df","true","1641336320"
"0x403f69b1092cf1cb82487cd137f96e8200f03bd5","1","0","false","","0","false","0x403f69b1092cf1cb82487cd137f96e8200f03bd5","true","1635456240"